Value,Designator,Footprint,Quantity,LCSC MFG,LCSC Part #
0.1uF,"C301, C302, C303, C304, C305",C0603[1608],5,YAGEO,C14663
1uF,"C307, C308",C0603[1608],2,Samsung Electro-Mechanics,C15849
4.7uF,"C306, C309",C0603[1608],2,Samsung Electro-Mechanics,C19666
470nF,C310,C0603[1608],1,Samsung Electro-Mechanics,C1623
,"D201, D202, D203, D204, D205, D206, D207, D208, D209, D210, D211, D212, D213, D214, D215, D216, D217, D218, D219, D220, D221, D222, D223, D224, D225, D226, D227, D228, D228_2, D229, D230, D231, D232, D233, D234, D235, D236, D237, D238, D239, D240, D241, D242, D243, D244, D245, D246, D247, D248, D249, D250, D251, D252, D253, D254, D255, D256, D257, D258, D259, D260, D262, D264, D265, D266, D270, D271, D272, D273, D274, D275, D276, D277, D278, D279",SOD-123,67,ST(Semtech),C81598
,CON304,UDB_combo_JST_MOLEX,1,BOOMELE(Boom Precision Elec),C145956
,F301,C1206[3216],1,Shenzhen JDT Fuse,C135338
,Q301,SOT-23-3,1,Vishay Intertech,C10487
,Q302,SOT-23-3,1,Changjiang Electronics Tech (CJ),C8545
10K,"R303, R304, R307",R0603[1608],3,Uniroyal Elec,C25804
100K,R305,R0603[1608],1,Uniroyal Elec,C25803
470,R306,R0603[1608],1,Uniroyal Elec,C881198
,S301,SW-PB,1,XKB Connection,C318888
,U301,STM32 - COMBO 7X7MM,1,Geehy,C915660
,U304,SOT-23-3,1,Torex Semicon,C5446
